id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
29972;0009/ 152C00291;50,110284500000000;14,503807800000004;Prouzova 792;;19000;3000;beverage_cartons;2019-05-31 03:22:28;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29973;0009/ 152C00292;50,110284500000000;14,503807800000004;Prouzova 792;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29974;0009/ 152C00293;50,110284500000000;14,503807800000004;Prouzova 792;;19000;3000;plastic;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29975;0009/ 152C00294;50,110284500000000;14,503807800000004;Prouzova 792;;19000;1500;glass_coloured;2019-05-19 16:59:53;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29976;0009/ 152C00295;50,110284500000000;14,503807800000004;Prouzova 792;;19000;1500;glass_white;2019-05-19 21:58:47;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29977;0009/ 154C00311;50,117315100000000;14,497955400000023;Pískovcová 737;;19000;3000;beverage_cartons;2019-05-17 05:08:50;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29978;0009/ 154C00312;50,117315100000000;14,497955400000023;Pískovcová 737;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29979;0009/ 154C00313;50,117315100000000;14,497955400000023;Pískovcová 737;;19000;3000;plastic;2019-05-18 08:13:44;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29980;0009/ 154C00314;50,117315100000000;14,497955400000023;Pískovcová 737;;19000;1500;glass_coloured;2019-05-18 15:14:26;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29981;0009/ 154C00315;50,117315100000000;14,497955400000023;Pískovcová 737;;19000;1500;glass_white;2019-05-28 04:14:44;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29982;0009/ 155C00321;50,121917500000000;14,492134999999962;Veltruská 538;;19000;3000;beverage_cartons;2019-06-19 18:37:31;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29983;0009/ 155C00322;50,121917500000000;14,492134999999962;Veltruská 538;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29984;0009/ 155C00323;50,121917500000000;14,492134999999962;Veltruská 538;;19000;3000;plastic;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29985;0009/ 155C00324;50,121917500000000;14,492134999999962;Veltruská 538;;19000;1500;glass_coloured;2019-05-18 21:31:31;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29986;0009/ 155C00325;50,121917500000000;14,492134999999962;Veltruská 538;;19000;1500;glass_white;2019-05-19 10:55:00;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29987;0009/ 156C00331;50,125855400000000;14,505569100000002;Kytlická  779;;19000;3000;beverage_cartons;2019-05-28 05:19:00;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29988;0009/ 156C00332;50,125855400000000;14,505569100000002;Kytlická  779;;19000;3000;paper;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29989;0009/ 156C00333;50,125855400000000;14,505569100000002;Kytlická  779;;19000;3000;plastic;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29990;0009/ 156C00334;50,125855400000000;14,505569100000002;Kytlická  779;;19000;1500;glass_coloured;2019-05-28 15:35:00;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29991;0009/ 156C00335;50,125855400000000;14,505569100000002;Kytlická  779;;19000;1500;glass_white;2019-06-10 01:39:09;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29992;0009/ 163C00341;50,123262800000000;14,498731499999963;Mimoòská 1243;;19000;3000;beverage_cartons;2019-06-01 19:18:39;Bammens Belfast;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29993;0009/ 163C00342;50,123262800000000;14,498731499999963;Mimoòská 1243;;19000;3000;paper;2019-05-15 12:50:01;Bammens Belfast;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
29994;0009/ 163C00343;50,123262800000000;14,498731499999963;Mimoòská 1243;;19000;3000;plastic;;Bammens Belfast;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
